"vehicle_id","num_obs"
"6d5b39ed-3f49-4e58-8a2f-d078baae6739","348"
"c6b3dbfe-0b7c-46b3-999d-9aa881cf54e3","347"
"dae43dfe-ba1d-46ef-a140-823a73b9dcf5","347"
"f9e52038-82ca-49aa-9020-5f8d84022228","345"
"fa834d93-d4d1-4f26-8ec3-56fae4cd8b36","342"
"1eb09dd8-9df0-41a0-ad91-79354c5c74e9","342"
"95870797-907e-436e-83cc-fdda5cad0f40","341"
"1b2ef855-dcc5-4a15-8f43-da15298b7560","341"
"66587aa4-53be-4e37-a396-64db63e4a2a8","340"
"8f439827-5946-44d5-82e4-bff8aa0edba0","340"
"cdfe61ca-16cd-47e0-a291-a279e0950a9c","340"
"86a257a9-d2a1-4e47-9108-fe4de0a3ebec","339"
"e7e3b02a-49fe-4a26-a4ab-4f6aea8cd23a","336"
"11c7b7f2-1cbc-4bc4-a675-6a2fc1932d1d","335"
"062c2b45-fe83-42c7-9bbe-837d8096de18","335"
"d4e34caf-1675-4cdc-bb3a-72039a5cb223","335"
"27dbcd52-87fd-4c9d-857b-69b410a8ffae","334"
"4bb8f5fd-a02f-41d3-898d-cac74c1eccbf","334"
"614216ad-a7fb-4313-97b3-9b2a1c8b2f15","333"
"8716c923-a853-4d33-92f1-6812cc2620ec","333"
"a4b016ee-6310-4a8f-a5ab-5d87c462d92d","331"
"eae16028-2418-4a5e-9015-cff06587e187","331"
"975fc96b-464e-432a-b28d-b88e82605263","331"
"7abfb52a-9cef-4530-8eb6-f495df9600b8","331"
"ed18319e-066a-4d19-a082-ce485d46b2d7","328"
"4392811f-5a84-49f7-a624-2d044223c441","328"
"4e1334a0-edc9-423e-ba33-5cb73e893cf5","328"
"3dbb2112-1943-4848-846a-f20ab7486ecd","328"
"f1703f2c-5cb8-40fb-ba83-2b2b75f031fc","326"
"e99d761c-30b0-4828-99a2-bec7d2ede811","326"
"b29a0935-2a95-4e8c-9e4e-b318112c3789","326"
"511ecb5e-ed32-40ff-ac5d-5eb975500be3","325"
"9c04caef-6007-4b40-bdfd-420a3f818597","325"
"04553eaa-059c-4666-b583-bd51ff73d9fd","322"
"3e892361-e32b-4e2b-ae80-eb5441c2266f","321"
"411f0d98-5ee1-499b-8d95-74ba279778bd","321"
"a1a31fba-0f6c-492e-939a-38575eb9eab4","320"
"b6e72bbb-bbaf-43b3-a47c-6700d86bbbb9","320"
"ff3055e9-0b1b-405f-b53f-a1b3caf94678","319"
"4549af08-edb8-43f3-9132-2d26602aaea6","317"
"0349563f-349e-4326-b58a-c09cc2ef75ed","317"
"f1b232d3-73ed-4d27-a5bd-da3cd2741be8","315"
"6880a226-0c32-4d57-9c89-276ccc44af1f","314"
"4fcecba7-42aa-4cb3-8f79-e51699bb8f80","314"
"f2ad9164-44ec-405d-973f-f054a4001f57","313"
"00cf9e80-b6b9-4601-a805-585de32dea43","313"
"fee58385-23be-400c-a01a-c81de0b3cd05","311"
"4fe60d9f-998a-4654-aa98-f1f13d2330e3","311"
"945b7fc9-407c-48bb-875e-1d76b2a5b695","311"
"ae5958fe-7e7e-4af8-814c-e06558c783b5","311"
"433a9976-32e7-4302-a131-4b25496c34de","311"
"b126384f-ddca-4586-9223-e698074fc72b","310"
"1593c03d-4988-443d-99a4-36a458513301","310"
"0053114a-713e-4b0f-b8fe-5088dcfb20ff","310"
"4c61f9ac-f79c-4161-a168-78cd2e9ad252","309"
"f8a5b575-afd7-4444-a114-49663e9eeb7b","309"
"454397eb-ef10-4625-9149-b0d7c1a83111","309"
"174b5988-cf9d-48fb-bc5d-08262fb80c34","309"
"68510c46-bd22-437a-8b75-6dca38d2c4f6","309"
